City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,esperance,-33.8667,121.9,15.33,70,0,2.63,AU,1673118795
259,kodiak,57.79,-152.4072,-1.27,80,0,6.17,US,1673118796
260,dandong,40.1292,124.3947,-9.13,91,100,0.98,CN,1673118796
261,kasongo,-4.45,26.6667,19.59,99,100,1.4,CD,1673118797
262,asau,46.4333,26.4,1.51,88,100,0.92,RO,1673118798
263,nkowakowa,-23.8878,30.2871,18.57,81,100,0.94,ZA,1673118798
264,juneau,58.3019,-134.4197,3.39,100,100,3.16,US,1673118631
265,bousse,12.6606,-1.8922,26.34,19,51,4.24,BF,1673118799
266,maceio,-9.6658,-35.7353,29.69,61,0,6.69,BR,1673118800
267,mercedes,-34.6515,-59.4307,35.02,15,93,5.99,AR,1673118597
268,abnub,27.2696,31.1511,14.7,47,98,2.38,EG,1673118801
269,chisindia,46.2833,22.1,6.05,87,20,1.92,RO,1673118802
270,bathsheba,13.2167,-59.5167,28.34,74,40,7.72,BB,1673118802
271,manzil kamil,35.6248,10.6673,15.69,72,20,2.57,TN,1673118803
272,praia da vitoria,38.7333,-27.0667,17.64,90,100,6.08,PT,1673118803
273,naze,28.3667,129.4833,13.46,63,0,6.23,JP,1673118804
274,flinders,-34.5833,150.8552,16.25,87,100,1.34,AU,1673118797
275,kindu,-2.95,25.95,22.27,89,100,1.45,CD,1673118805
276,muros,42.7762,-9.0603,13.16,89,100,9.46,ES,1673118805
277,surgut,61.25,73.4167,-26.9,76,40,7.0,RU,1673118806
278,beloha,-25.1667,45.05,24.6,83,79,1.42,MG,1673118807
279,gryazi,52.4966,39.9359,-18.99,94,6,2.33,RU,1673118807
280,sitka,57.0531,-135.33,8.94,61,100,8.23,US,1673118808
281,namibe,-15.1961,12.1522,22.35,69,67,4.6,AO,1673118734
282,andenes,69.3143,16.1194,-3.01,54,15,10.29,NO,1673118809
283,vila franca do campo,37.7167,-25.4333,17.23,92,98,6.89,PT,1673118809
284,filadelfia,39.9523,-75.1638,8.34,62,75,5.66,US,1673118656
285,miandrivazo,-19.5167,45.4667,26.36,81,45,0.84,MG,1673118810
286,isangel,-19.55,169.2667,27.23,86,100,6.35,VU,1673118810
287,tabory,58.5198,64.5495,-20.52,92,100,4.74,RU,1673118811
288,san patricio,28.017,-97.5169,27.05,65,100,6.16,US,1673118811
289,santa vitoria do palmar,-33.5189,-53.3681,25.87,51,0,6.32,BR,1673118811
290,pokrovskoye,47.4157,38.8971,-8.94,52,7,3.54,RU,1673118812
291,iquique,-20.2208,-70.1431,23.02,65,33,4.2,CL,1673118744
292,ongole,15.5,80.05,22.65,82,0,1.28,IN,1673118813
293,hambantota,6.1241,81.1185,24.58,81,74,6.11,LK,1673118814
294,buchanan,5.8808,-10.0467,26.49,79,9,4.2,LR,1673118814
295,marsh harbour,26.5412,-77.0636,21.79,61,0,4.58,BS,1673118814
296,sioux lookout,50.1001,-91.917,-5.38,85,24,4.19,CA,1673118815
297,poznan,52.4069,16.9299,7.29,98,20,3.09,PL,1673118815
298,kalmunai,7.4167,81.8167,24.17,87,97,3.71,LK,1673118816
299,polovinnoye,54.7914,65.9864,-22.88,92,100,3.85,RU,1673118816
300,mwene-ditu,-7.0,23.45,18.69,94,100,0.88,CD,1673118817
301,manitouwadge,49.1215,-85.8403,-10.52,83,17,2.5,CA,1673118817
302,chagoda,59.164,35.3285,-17.09,99,83,2.22,RU,1673118818
303,beyneu,45.3167,55.2,-6.99,72,100,11.22,KZ,1673118819
304,tateyama,34.9833,139.8667,8.14,67,0,3.81,JP,1673118819
305,novikovo,51.1537,37.8879,-16.46,90,7,1.99,RU,1673118820
306,tahta,26.7693,31.5021,14.7,48,100,2.8,EG,1673118820
307,upernavik,72.7868,-56.1549,-26.05,88,34,4.29,GL,1673118821
308,faya,18.3851,42.4509,11.29,79,1,1.96,SA,1673118821
309,el pueblito,20.5333,-100.45,22.58,20,0,2.01,MX,1673118821
310,victoria,22.2855,114.1577,19.1,63,100,4.47,HK,1673118789
311,pozo colorado,-23.4923,-58.7972,33.32,32,54,4.05,PY,1673118822
312,great yarmouth,52.6083,1.7305,9.67,80,100,10.2,GB,1673118823
313,nanortalik,60.1432,-45.2371,-4.64,80,78,2.9,GL,1673118823
314,besleney,44.2405,41.7387,-6.72,80,100,1.58,RU,1673118823
315,benghazi,32.1167,20.0667,16.77,63,99,5.29,LY,1673118819
316,young,-32.6833,-57.6333,36.9,12,1,5.36,UY,1673118824
317,guadalupe y calvo,26.1,-106.9667,16.61,18,0,4.61,MX,1673118825
318,khandyga,62.6667,135.6,-47.43,100,66,0.62,RU,1673118825
319,brae,60.3964,-1.353,8.54,93,100,8.01,GB,1673118826
320,christchurch,-43.5333,172.6333,14.67,78,100,0.51,NZ,1673118577
321,goderich,43.7501,-81.7165,-1.16,62,11,6.4,CA,1673118827
322,matagami,49.7502,-77.6328,-15.46,88,100,2.31,CA,1673118827
323,port hedland,-20.3167,118.5667,27.03,89,100,6.17,AU,1673118827
324,utinga,-5.8172,-35.3954,29.47,70,40,7.72,BR,1673118828
325,san alberto,7.7611,-73.3922,30.17,68,44,1.88,CO,1673118828
326,blyznyuky,48.8578,36.5551,-10.04,50,7,2.83,UA,1673118829
327,khani,41.9563,42.9566,-1.24,99,99,1.73,GE,1673118829
328,kanniyakumari,8.0833,77.5667,25.75,71,3,9.12,IN,1673118830
329,baykit,61.67,96.37,-28.73,100,94,0.58,RU,1673118830
330,chunskiy,56.0815,99.6342,-24.39,100,88,1.13,RU,1673118831
331,leningradskiy,69.3833,178.4167,-25.36,97,98,2.12,RU,1673118831
